Marca temporal;Dirección de correo electrónico;distrito_1;distrito_2;farmacias;hospitales;escuelas;supermercados;gimnasio;cinema;centros_comerciales;restaurantes;parques;tipo_vivienda;budget;tamaño;rooms;bathrooms;caracteristicas;edad;estudios;ingresos;air_conditioning;terrace;garden;parking;swimming_pool;booxroom
21/01/2025 19:35:47;gAAAAABntitL00plGo9LMEYXxUmNyX1wqdlGC3tWmcogX98JHI-BrmXSccZZWzidElGjHLWXtVjFtW2Jma7xLaJxnpySR0YgzDkPGbGa3MOeea4M3yt7ctY=;El Gòtic;Lloreda;1.0;5.0;5.0;5.0;2.0;1.0;3.0;3.0;2.0;chalet;125000;70.0;2.0;2;parking;> 60;Sin estudios superiores / Undergraduate;70000 - 80000;False;False;False;True;False;False
22/01/2025 20:03:29;gAAAAABntitLPistMKu72QWk-vTow2WcvN-DBI9--Sa2Y-tEGYPdSP8KSH5Y-N03BQz0BioxpWtvz1GMz_mjVcWvOmCi9uE6ALVLmalOP6by67c2sMkFvvw=;Les Corts;La Barceloneta;1.0;2.0;0.0;5.0;5.0;3.0;2.0;3.0;0.0;chalet;150000;60.0;2.0;1;air_conditioning, terrace, parking, booxroom;25-30;Master;30000 - 40000;True;True;False;True;False;True
23/01/2025 14:53:57;gAAAAABntitLoxV2J4bJY7xcq5l5B8jfPaQinmUny3iUe7q1gaN8V5F8ON87fZZ1agvNOYHzzx-ofa6C-wh58OYQgoVKcWBMfutNvKC6K6DCY_05Q3SvPsc=;Sants;Sants - Badal;3.0;4.0;3.0;5.0;5.0;3.0;3.0;3.0;3.0;flat;300000;90.0;3.0;2;terrace, parking, swimming_pool, booxroom;25-30;Master;20000 - 30000;False;True;False;True;True;True
23/01/2025 16:54:08;gAAAAABntitL97IOuV90-RTjTj25BGA8c4rTieXT9kK3NPZQQwyufH4UEdKig-5cDJCXwanjKZ1e3QXXu5ruJi9pqb7Os-6a9T-XvwNIS4-5jibWBIykBxo=;La Pau;Lloreda;5.0;5.0;5.0;5.0;3.0;3.0;3.0;3.0;5.0;flat;500000;120.0;3.0;2;terrace, parking, booxroom;35-40;Estudios universitarios / Graduate degree;30000 - 40000;False;True;False;True;False;True
23/01/2025 20:18:57;gAAAAABntitLq5PYI21oDAV6Q8bgxiUZSS2yvgrnlyB_pvuxCU8CldsUdF-G3Rp7lJQsq8DfiAuFfKDsypGOG024IDmHtWhjJfahwfsUNSUKH8Vv5jL1-x4=;Congrés;La Pau;2.0;2.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;penthouse;250000;90.0;3.0;2;terrace, booxroom;40-45;Sin estudios superiores / Undergraduate;30000 - 40000;False;True;False;False;False;True
24/01/2025 12:15:16;gAAAAABntitLhX3SpmgvvDOHpu6u56OjsDmyl87g45lskuMxiQGWP_Z8RF51Mco8SDc7eQCZ5lXF6meYRhsFXw44IL4KkG6BiCPl3a9p8LNghVlKzdOOXn0=;La Salut Gràcia;Sant Gervasi - La Bonanova;2.0;1.0;2.0;2.0;2.0;1.0;1.0;3.0;2.0;flat;100000;90.0;3.0;2;terrace, terrace, parking;40-45;Estudios universitarios / Graduate degree;30000 - 40000;False;True;False;True;False;False
26/01/2025 1:16:15;gAAAAABntitL_kQOJzkClDutkL-7QU8Ib00i21nV99Z2yKE4aDMDVNXcIbviKxiQT5y0Zz0UthAhcAC8o0K0LikrX1Fv2k3490C1LFFoLk0l_XRVYnSoOok=;El Poblenou;La Barceloneta;4.0;5.0;5.0;5.0;5.0;3.0;3.0;3.0;5.0;chalet;200000;100.0;3.0;2;air_conditioning, terrace, garden, parking, swimming_pool, booxroom;35-40;Doctorado / Doctorate;40000 - 50000;True;True;True;True;True;True
27/01/2025 12:27:50;gAAAAABntitL8tym7d1G9zgCC0CU1CB6sTl2sRRQx4_88GqhmtNRGTMMo6EEuiOIC0_ckaA1aGmDReeUYLyUtTmRG0EGHqWbBge8i-9xg3O2emrf1zsvIAs=;La Sagrada Família;Pedralbes;2.0;2.0;1.0;2.0;0.0;0.0;1.0;3.0;2.0;flat;400000;110.0;3.0;2;air_conditioning, terrace, parking, booxroom;> 60;Sin estudios superiores / Undergraduate;30000 - 40000;True;True;False;True;False;True
28/01/2025 8:32:52;gAAAAABntitLt5EYCAg4MczdxZe97yQOPslmUdQOClQFCnDvefmGNpmL8RLy3-7txY_TUt2L3JN4_gN59FTk8q7KUsm0HOY0u1byRWy_m838BE0VEpbq3qE=;Sant Roc;Lloreda;5.0;5.0;5.0;5.0;4.0;4.0;3.0;3.0;4.0;flat;225000;120.0;5.0;3;air_conditioning, terrace, terrace, garden, parking, booxroom;> 60;Estudios universitarios / Graduate degree;30000 - 40000;True;True;True;True;False;True
31/01/2025 18:13:45;gAAAAABntitLErh0xMq150fLgAAM4Wjx9RF6_vHOhjWgSdIcP42rJVTra0VzmiFOGVmZo2Igg-o9Lhi7wcjK3aHz7_cpvGF7Cc88BEtpufnr-pkapXAhs9M=;Sant Gervasi - La Bonanova;Sant Gervasi - Galvany;1.0;2.0;2.0;2.0;2.0;0.0;0.0;3.0;2.0;flat;50000;70.0;3.0;2;air_conditioning, terrace, terrace, parking;35-40;Estudios universitarios / Graduate degree;40000 - 50000;True;True;False;True;False;False
31/01/2025 18:22:26;gAAAAABntitL_Gnvs2e4skt7kByeVkzNlC3xFcHWka5s4gXquQotR_KfsXFBGlA0uQM50JFXZU3sWnza1zaxsouQ-hhJ8oN2Uwusev21P3AnZjGpn4nSHp8=;Sant Gervasi - La Bonanova;Vallcarca i els Penitents;2.0;2.0;3.0;3.0;2.0;0.0;0.0;3.0;3.0;chalet;50000;90.0;3.0;2;terrace, parking;30-35;Estudios universitarios / Graduate degree;20000 - 30000;False;True;False;True;False;False
31/01/2025 18:25:11;gAAAAABntitLEEongdOkN_rHQKP9c_XUoM9ReSk_qty1AY-_zike_FBZlju53V-8vdFDSb4TI_v7jlYOKyEjXV4_hYw3Xrijrv2uC18ndP476VT5UkqTh6s=;Sarrià;Pedralbes;5.0;5.0;5.0;5.0;3.0;3.0;3.0;3.0;5.0;penthouse;350000;100.0;4.0;2;terrace;35-40;Estudios universitarios / Graduate degree;30000 - 40000;False;True;False;False;False;False
31/01/2025 18:26:26;gAAAAABntitLio0nZV4zraXnxyjbDXvTURx7UsPJhy4Vvu8mDa31A2LqYuB9gSdcKiqTGZGlSVhriW6MTywH6ZP0hxkQw3RQYV_8DQCABDX0M8bqYkxjvkY=;Vallcarca i els Penitents;Sant Gervasi - Galvany;3.0;3.0;4.0;5.0;4.0;3.0;1.0;3.0;4.0;flat;20000;60.0;2.0;1;terrace, parking;35-40;Master;40000 - 50000;False;True;False;True;False;False
1/02/2025 23:01:02;gAAAAABntitLdgHKUb22li1JvG1VymUVJ2zenaD79HcwtAYg-wkD6hIV-DfkvUF3Rpvj_PTaFNeRycjWxHlfDcKXjMOND3kgn7Z4FxgsRrkm1ZgQCpNLYuQ=;Les Corts;Sants;3.0;4.0;5.0;5.0;5.0;5.0;3.0;3.0;2.0;flat;350000;110.0;4.0;2;air_conditioning, terrace;45-50;Master;20000 - 30000;True;True;False;False;False;False
2/02/2025 8:58:25;gAAAAABntitLCRjxhGTtaJa99tcctQIQu0NQOhdcsLOamwaXDZPVpdE1EdYxXB8luAVC4revnaipk2m3Y1tSeGuqLyHPcPqup6uVzExM7_60wPOpEN_Vkys=;Les Corts;Sants;2.0;2.0;2.0;4.0;4.0;3.0;3.0;3.0;3.0;flat;300000;80.0;3.0;2;air_conditioning, terrace, parking;30-35;Master;50000 - 60000;True;True;False;True;False;False
2/02/2025 21:30:29;gAAAAABntitLgcf1JHpaWTJF8GKjNz3GtTvhvWxWb3oQt0OuOsBwQRO5qTjFoWcosbRxfSyIKQzwRzVvUJ7QDZAP02qQy755W2B9QURjh-Ei7PpN7_G-pEc=;Sants;Hostafrancs;1.0;1.0;1.0;2.0;0.0;0.0;0.0;3.0;2.0;flat;50000;60.0;2.0;1;air_conditioning, terrace;25-30;Estudios universitarios / Graduate degree;20000 - 30000;True;True;False;False;False;False
