properties.name;latitude;longitude
Bonpreu;2.4839464;41.6846217
Supermercat Llobet;1.8053719;41.7450043
Spar;1.8037259;41.7448102
Dia;1.8065143;41.7449551
Sorli Discau;2.217578;41.4534739
Suma;2.4509255;41.5423541
;2.1423536;41.3955415
Condis;1.9659725;41.4136707
Consum;2.1367034;41.3820828
Condis;2.1357723;41.3822443
Consum;2.2184799;41.434053
Condis;2.217131;41.434386
Mercadona;2.1267921;41.381252
Caprabo;2.1298667;41.3804716
Carrefour Market;2.1401829;41.3836428
Caprabo;2.170384;41.4281908
Condis;2.171184;41.4280184
Caprabo;2.174133;41.4279901
Condis;1.8154767;41.4992167
Dia;2.1612935;41.3745191
BonÀrea;2.1608907;41.3738074
Caprabo;1.9365358;41.38999
Mercadona;2.2109384;41.4061304
Mercadona;2.2101589;41.4064398
Caprabo;2.1387839;41.3745734
Mercadona;2.1432138;41.3794731
Dia Market;2.1780868;41.3808774
Condis;2.1794063;41.4279078
;1.8747127;41.751595
Condis;1.7237237;41.2228095
Caprabo;2.04523;41.4849016
Condis;2.1765635;41.4429836
;2.4223769;41.519497
Dia;2.1472479;41.4083034
Dia;2.1512953;41.4095619
Ametller Origen;2.1532652;41.405565
Dia;2.1482945;41.402391
Plusfresc;2.1371428;41.4064092
Dia;2.1388768;41.4117734
Opencor;2.0686848;41.4796972
Condis;2.1411244;41.3717889
Distop;2.0934225;41.5584221
Maximer;2.0172243;41.5766652
Talló;2.0234654;41.5604581
Talló;2.0130389;41.5726838
Talló;2.0126789;41.5747389
Bonpreu;2.2191453;41.430635
Caprabo;1.914264;41.4804051
Caprabo;2.1273963;41.3944077
Consum;2.1382777;41.3714024
Spar;2.6868269;41.6243014
Condis;2.0114513;41.5655805
Dia;2.1738847;41.4059186
Caprabo;2.1772722;41.4064566
Coaliment;1.9710099;41.2662727
Lidl;2.1656895;41.4004677
Bonpreu;2.1678404;41.3997176
;2.1256964;41.3728967
Bonpreu;2.156549;41.3911342
Charter;2.006351;41.3994289
Condis;2.006044;41.4002223
Bon Àrea;2.007618;41.3991191
Condis;2.0073373;41.3979694
Bonpreu;1.9161057;41.4772679
Condis;2.2124529;41.5395048
Dia;2.2116215;41.5394209
BonÀrea;2.203854;41.4004176
Mercadona;2.0756661;41.3720043
Condis;2.1406086;41.4246854
Superestalvi;2.1682109;41.3965084
7days;2.2108806;41.5386399
Caprabo;2.1658744;41.400339
Caprabo;2.1689106;41.395533
Dia;2.0836426;41.3693161
Caprabo;2.0908858;41.4720622
Jespac;2.1372386;41.4044821
;1.5135985;41.7332178
Mercavila;1.9686581;41.4124764
BonÀrea;2.2091409;41.540959
;2.5383858;41.6124975
Supermercat;2.1516985;41.4067026
Mercadona;2.1504147;41.3958643
Consum;2.1487988;41.3978028
Lidl;2.1819404;41.428821
;2.1833245;41.4288231
;2.1728576;41.4361126
Mercadona;2.3025806;41.6165655
Spar;2.1176401;41.3758729
Consum;2.1977378;41.390608
Sorli Discau;2.1907387;41.3915206
Caprabo;2.1895606;41.3919204
Consum;2.1466223;41.3816843
Condis;2.2353776;41.4542428
Dia;2.2370343;41.4513216
Super Mercat;2.2352418;41.4534736
Mercadona;2.2367572;41.4483841
Condis;2.2306598;41.4526563
Condis;2.1536098;41.3835125
Mercadona;2.1533419;41.3808618
Bonpreu;2.1654032;41.4390594
Consum;2.1485264;41.4337299
Mercadona;2.4326362;41.5271806
Consum;2.1742348;41.4359231
Caprabo;2.173662;41.4376808
Condis;2.1335234;41.3712408
Dia;2.1056353;41.3727931
