;propertyCode;Centro_comercial;Centro_comercial_distancia;cinema;distancia_cinema;Parque;Parque_distancia;Gimnasio ;Gimnasio _distancia;Supermercado;Supermercado_distancia;Teatro ;Teatro _distancia;farmacia_mas_cercana;distancia_farmacias;Escuelas;escuelas_distancia
43;105744713;Galeries Maldà;386.6431499525144;Cinema Maldà;377.5261348388832;;214.45804906335843;Centre Esportiu Municipal Colom;265.55472867934367;Superservis;179.8515311111416;Tablao Flamenco Cordobes;144.12445470100724;Farmàcia Aguilar Peyra, M. Victòria;83.62072224119251;Escuela de Artes Aplicadas y Oficios Antiguos;241.9470483513637
44;105744728;Maremagnum;468.5736828758356;Cinema Maldà;881.8950689453848;;141.45340673278088;Centre Esportiu Municipal Colom;329.1840799262994;MercaNautic;66.34044893329734;Teatro Principal;485.9305704855671;Farmàcia Rodríguez Vilar, Javier;141.71538657587462;Escola Drassanes;266.04629225943705
45;105904313;Galaxia;637.0356190167826;Cinesa;1403.3840637666617;;67.29484443063052;9a Poblenou;297.31514287603903;Condis;265.48112528248186;Casino l'Aliança del Poblenou;672.2476896309903;Farmacia Ortuño;214.68755007352647;Institut Front Marítim;332.58660529967824
46;105437601;El Corte Inglés;1002.175704451832;Gran Sarria Multicines;907.3843652587937;;74.27342431128848;Anytime Fitness;651.2632973148546;Veritas;129.68300662561114;;67.0804264551746;Farmàcia Núria Pietro Ramos;94.36644943760508;Col·legi Reial Monestir de Santa Isabel;106.29476979712638
47;99673590;Centre Comercial Encants Nous;1077.8762762575502;Phenomena;267.79132814691206;;423.373732391429;GREEN FIT;363.804566747288;Alimentació oriental;25.359273392269245;Teatre Gaudi;578.9876974332176;Farmàcia Pascal Canalias, Dolors;47.70185379536824;Escola Palcam;223.8559933087464
48;101674986;;872.8285954205252;Glòries Multicines;896.49772407728;;37.21478664361546;Gimnàs Koryo;516.2500177995321;Bonpreu;86.31178990536186;Auditori Sant Martí de Provençals;492.2014880355355;Farmàcia Jorge Trias Banyeres;44.52269771593115;Centre d'educació Adela de Trenquelleón;204.22001521241015
49;101849486;Maremagnum;751.368715018943;Cinema Maldà;850.2955639189911;;209.44639550894044;Ashtanga Yoga Shala;134.3482505515055;Mi Alcampo;46.729914650612464;Palau Dalmases;322.0895659431389;Farmàcia Condal Espinal, Rosa Maria;144.75900609857706;Escola Ángel Baixeiras;292.31976660127526
50;104214558;UME Muntaner Unió Musical;673.4678690517826;Cinesa Diagonal;774.3415588160186;;200.3833880790992;;293.7420581655231;Supermercat;70.59506819282089;Aquitania;259.06780154094906;Farmàcia Ponjoan Uriach, M. Rosa;48.05982573635573;Som-hi dansa;163.38621224895735
51;100491848;Alejandra;1260.9162571543698;Balmes Multicines;1143.8740409134643;;235.70085043310988;;551.6469986465755;Condis;122.33155860523613;Centre Parroquial de Sant Vicenç de Sarrià;990.3470175863368;Farmàcia Melguizo;110.76553594622384;Lyceé Français de Barcelone;128.30435626003063
52;105248415;UME Muntaner Unió Musical;1035.3002812489622;Cinema Bosque;416.0381579121309;;149.53381254348596;Sarasvati;28.68189441154825;Al gra;66.31732899124744;Jove Teatre Regina;313.2547228356231;Farmàcia Roé Fadurdo, M. Glòria -hereus-;104.77136440991528;Escola Josep Maria Jujol;184.2018919624668
53;104664074;Arenas de Barcelona;185.5872629810372;Arenas de Barcelona;213.93206868697445;;260.8241340061912;Sou Livre;130.27794821031074;Mercadona;144.1718692469732;Barcelona Teatre Musical;725.6915695121523;Farmàcia Godia Tresánchez, Rosa Maria;101.35105302891051;Institut Ernest Lluch;187.270311587706
54;105391927;Centre Comercial Encants Nous;1031.384146963835;Phenomena;1558.9985860934692;;195.15566955426857;Let's Fly;423.35772277363947;Lidl;93.76404411567054;Sala 2 Oriol Martorell;620.7608236887532;Farmàcia Abad Merin, Milagros;11.651870398533148;Institut Angeleta Ferrer;311.20765179529474
55;96535945;El Corte Inglés;2282.3839726838373;Gran Sarria Multicines;2945.9181729416864;;538.9717408439996;;1328.027981738166;Alimentació Pons;694.6058650440588;Centre Parroquial de Sant Vicenç de Sarrià;1801.1586308911471;Farmàcia Tous Trepat;578.9925535103856;Escola Solc;150.72646038048129
56;105168573;UME Muntaner Unió Musical;503.9657873066636;Cinemes Boliche;702.2618406833578;;285.5775751512633;;214.23595869878875;El graner de Sant Gervasi;136.8016442244484;Teatre Akademia;100.1283336018822;Farmàcia Santaló;143.7097471831201;Escola Nàutica Port Olímpic;210.46003959963224
57;105584469;Centre Comercial SOM Multiespai;831.1469459068794;CINESA Porta;793.542796523657;;73.26232013109102;;172.1164009454728;Caprabo;18.343121972467145;Ateneu Popular de Nou Barris;1408.8860763296486;Farmàcia Gabaldón Flotats, Albert;78.50160730866085;CFA Madrid;312.9818039040344
58;100756616;DISTAR centres del descans;733.2393686956108;Phenomena;397.76550660395;;193.05943204531843;Centre Esportiu Claror;189.3777013164685;Sardenya Open;76.3676118234793;Teatre Gaudi;179.88267177074025;Farmàcia Sardenya - Llic. Irene Malo Cruz;24.82982129020456;Escola Fructuós Gelabert;39.89767549117634
59;105962661;Cash Converters;855.7992977633221;Glòries Multicines;1549.8652596676684;;88.84508860196624;Gimnàs Koryo;548.6862955520317;Caprabo;91.17768808283496;Nau Ivanow;145.87501559928182;Farmàcia Ricarte Fillola, Santiago;105.60869648145656;Escola l'Estel;80.64372604838215
60;105961430;Arenas de Barcelona;610.0437368378327;Arenas de Barcelona;604.6657569357259;;292.5261773556607;Fundació Cultural Hostafrancs;604.1259910572918;Caprabo;114.58009253319756;Sala Upload;317.29898838047643;Farmàcia Alsina Armengol, Conxita;59.32727957232855;Escola La Muntanyeta;116.12484795241876
61;104192936;Galeries Maldà;223.4156775421288;Cinema Maldà;254.61972690678837;;327.8434013041168;Yoga Weeks Barcelona;334.2452678964649;Supermarket 24h;109.28467829989486;Gran Teatre del Liceu;157.6814805809431;Farmàcia Clapés Antoja, Josep;108.15001910932152;Escola Massana;171.5418107417081
62;100683533;UME Muntaner Unió Musical;392.2237992760287;Cinema Bosque;595.3248729689166;;239.13888023461143;Trib3;393.5014017604128;Consum;191.36367525286963;La Gleva;263.6048248549993;Farmàcia Puso Mazarico, José Ramon;21.98249052035545;Escola Poeta Foix;174.19413182751703
63;99097372;El Corte Inglés;2919.276021265653;Gran Sarria Multicines;3616.610103206852;;232.69738818787195;VivaGym Finestrelles;1475.7685710052124;Alimentació Pons;1234.1798716441028;Robert Brillas;2328.5572461300712;Farmàcia Finestrelles;540.2446812721074;Escola Thau;418.891585049993
64;103859092;Cash Converters;671.8511215448322;Aribau Multicines;537.0291984560965;;235.83558705877076;Ray Fitness BCN;247.03222445660248;Lidl;83.61093236077991;La Villarroel;92.67014566375606;Farmàcia Cutillas Bou, Martin Augusto;133.52511579250782;Centre Educatiu Mare de Déu del Roser;80.78875541577459
