propertyCode;url;floor;propertyType;size;exterior;rooms;bathrooms;hasLift;hasStaging;hasParkingSpace;hasSwimmingPool;hasTerrace;hasAirConditioning;hasBoxRoom;hasGarden;zip_code;priceDropValue;price;Centro_comercial;Centro_comercial_distancia;cinema;distancia_cinema;Parque;Parque_distancia;Gimnasio ;Gimnasio _distancia;Supermercado;Supermercado_distancia;Teatro ;Teatro _distancia;farmacia_mas_cercana;distancia_farmacias;Escuelas;escuelas_distancia
105403562;https://www.idealista.com/inmueble/105403562/;bj;duplex;143.0;True;4;4;False;False;False;No data;True;True;No data;No data;8902;No data;359000.0;Gran Via 2;724.0827955027409;Filmax Gran Via;698.1346718037194;;165.05698932850092;Judo Club l'Hospitalet;54.65230019824474;Cal Vidal;187.77956971484053;Auditori la Torrassa;775.4129488185126;Farmàcia Adsara Dalmau - Adsara Grau;89.82534968941268;Escola Pompeu Fabra;196.5885763506612
105321755;https://www.idealista.com/inmueble/105321755/;1;flat;34.0;False;1;1;False;False;False;No data;No data;No data;No data;No data;8901;No data;115000.0;la Farga;207.43858480731052;Filmax Gran Via;2497.7624516922338;;252.04922371731976;;479.0625081306495;Lidl;152.9442630768972;Auditori Barradas;614.2914878290155;Farmàcia Immaculada Soucheiron Almela;70.04510850540265;Institut Can Vilumara;326.92174566557657
103417144;https://www.idealista.com/inmueble/103417144/;2;flat;74.0;False;3;1;False;False;False;No data;True;No data;No data;No data;8905;No data;105000.0;la Farga;1172.5575372360342;Filmax Gran Via;2056.51264898466;;188.5488583600422;;1021.1037923255788;Dia;61.32633328198777;Teatre Joventut;617.831707498699;Farmàcia Totosaus Arribas, M. del Pilar;67.31936069831062;Escola Balaguer;163.34936835591495
106005613;https://www.idealista.com/inmueble/106005613/;1;flat;86.0;True;3;1;False;False;False;No data;No data;No data;No data;No data;8902;No data;189000.0;Gran Via 2;988.6073288306644;Filmax Gran Via;1000.3127677662832;;143.1482933482047;Judo Club l'Hospitalet;311.0521092518759;Bon Area;38.65870451212843;Auditori la Torrassa;497.3418527435255;Farmàcia Balsells Turmo, Èlia i Marta;13.61383782974677;Escola Azorín;61.19622396260242
105595687;https://www.idealista.com/inmueble/105595687/;6;penthouse;100.0;True;3;1;True;False;False;No data;True;No data;No data;No data;8906;No data;360000.0;la Farga;1026.3770590132735;Filmax Gran Via;3382.4381106242417;;310.3007294316004;VivaGym Finestrelles;809.0346762158263;Dani Supermercat;104.64821648693388;Auditori Barradas;870.8061124516929;Farmàcia José García Brocos;15.326186773925889;Alegre;154.10937585971834
105519991;https://www.idealista.com/inmueble/105519991/;2;flat;96.0;True;4;2;True;False;False;No data;No data;True;No data;No data;8801;No data;310000.0;la Farga;923.2407414764464;Cinemes Full HD;2428.328066285368;;248.82621043798017;;1347.6699994626636;Dia;95.10588023432982;Auditori Barradas;617.1840896344194;Farmàcia Daniel Perez Marti;6.947744605091777;Col·legi Tecla Sala;330.42926346803927
106005406;https://www.idealista.com/inmueble/106005406/;6;penthouse;44.0;True;0;1;True;False;False;No data;True;No data;No data;No data;8903;No data;143000.0;Travessa outdoor;1166.3360683995531;Filmax Gran Via;1641.3632933744805;;215.1179824954845;;750.5962359525511;;27.414863835020043;Auditori la Torrassa;398.7968050999763;Farmacia Tobalina;78.91509987566641;Institut Escola Maria Miret;238.1614832767018
105785654;https://www.idealista.com/inmueble/105785654/;13;flat;85.0;True;3;1;True;False;False;No data;No data;No data;No data;No data;8907;5000.0;235000.0;rafay fuit i verduras;372.1488487910304;Filmax Gran Via;1258.277758544427;;243.6267985011238;VivaGym;914.435511799182;Proxim;644.2265622537323;Auditori la Torrassa;2131.5409907089133;Farmàcia Luca Gallego, M. Pilar;298.630210027206;CFA Bellvitge-Gornal;212.6622146881819
103916121;https://www.idealista.com/inmueble/103916121/;4;flat;97.0;True;4;2;True;False;False;No data;True;No data;No data;No data;8940;No data;410000.0;Centre Comercial Cornellà;678.5053206842122;Cinemes Full HD;1976.1342611899497;;255.2241429395098;;1864.137865458712;Espucarn;473.2936895147403;Auditori Barradas;966.3317092616122;Farmàcia Daniel Perez Marti;395.76960062169246;CEE L'Estel- Can Bori;570.3725009661581
105844570;https://www.idealista.com/inmueble/105844570/;3;flat;146.0;True;3;2;True;False;False;No data;True;No data;No data;No data;8902;5000.0;400000.0;Gran Via 2;298.79431404809867;Filmax Gran Via;193.9198899762061;;164.71381550045507;VivaGym;327.39284549033454;Carrefour;339.5570374242532;Auditori la Torrassa;1315.2343345526235;Farmàcia Teruel Roca, Anna M.;277.5041562364571;Escola Prat de la Manta;64.23701697426219
105774857;https://www.idealista.com/inmueble/105774857/;3;penthouse;58.0;True;2;1;False;False;False;No data;True;No data;No data;No data;8905;5000.0;135000.0;la Farga;1433.5839478924954;Filmax Gran Via;2044.1215056587928;;355.99432331265854;Club esportiu Laietà;883.2222900686756;Charter;228.03082938904072;Teatre Joventut;361.7963213683868;Farmàcia Sancho;106.03452141479993;Escola Pau Casals;224.35875138049877
105126854;https://www.idealista.com/inmueble/105126854/;No data;flat;105.0;False;4;3;True;False;False;No data;True;No data;No data;True;8801;No data;480000.0;Centre Comercial Cornellà;1020.6478978943518;Cinemes Full HD;2290.067238732554;;137.7062702351661;;1504.5711988132357;Condis;155.95320559374267;Auditori Barradas;694.4935602662913;Farmàcia Daniel Perez Marti;120.7329366383006;Col·legi Tecla Sala;351.20051288444745
105126936;https://www.idealista.com/inmueble/105126936/;No data;flat;105.0;False;4;3;True;False;False;No data;True;No data;No data;True;8801;No data;510000.0;la Farga;939.9849323898184;Cinemes Full HD;2428.5245141150795;;271.6040281684933;;1329.881258686621;Dia;173.03729343496065;Auditori Barradas;671.9022722153563;Farmàcia Daniel Perez Marti;86.09549291142399;Col·legi Tecla Sala;408.2060125430805
103229716;https://www.idealista.com/obra-nueva/103229716/;bj;duplex;102.0;True;3;3;True;False;False;No data;No data;True;No data;No data;8906;No data;392000.0;la Farga;1361.6722251879996;Filmax Gran Via;3204.5225091800708;;184.75349445136035;VivaGym Finestrelles;853.1529828949491;Dia;250.33872351470632;Auditori Barradas;1416.700413983225;Farmàcia Josep Miquel Simon Baron;122.24261652787996;Escola Norai;119.35114227981092
103228940;https://www.idealista.com/obra-nueva/103228940/;bj;flat;75.0;True;2;2;True;False;False;No data;No data;True;No data;No data;8906;No data;282000.0;la Farga;1361.6722251879996;Filmax Gran Via;3204.5225091800708;;184.75349445136035;VivaGym Finestrelles;853.1529828949491;Dia;250.33872351470632;Auditori Barradas;1416.700413983225;Farmàcia Josep Miquel Simon Baron;122.24261652787996;Escola Norai;119.35114227981092
102943297;https://www.idealista.com/inmueble/102943297/;3;flat;110.0;True;3;1;False;False;False;No data;True;No data;No data;No data;8906;14000.0;255000.0;la Farga;807.9328842202208;Cinemes Full HD;3154.3086764944005;;105.46647044670522;VivaGym Finestrelles;1133.0630844561692;Dia;32.96089478412779;Auditori Barradas;514.5977617491187;Farmàcia Luis Miguel Barberan Parcerisas;146.4855300446153;Escola La Carpa;63.75173612480016
101263130;https://www.idealista.com/inmueble/101263130/;4;flat;56.0;True;3;1;True;False;False;No data;True;No data;No data;No data;8904;No data;170000.0;la Farga;1333.4924186776268;Filmax Gran Via;1912.6213275552875;;186.16980309831544;Poliesportiu Municipal Gornal;1026.8637422405018;Dia;251.6598066793823;Teatre Joventut;470.40752867850944;Farmàcia Totosaus Arribas, M. del Pilar;80.31993512254658;Escola Pau Casals;41.17469222986635
103231748;https://www.idealista.com/obra-nueva/103231748/;No data;flat;92.0;True;3;2;True;False;False;No data;No data;True;No data;No data;8906;No data;362000.0;la Farga;1361.6722251879996;Filmax Gran Via;3204.5225091800708;;184.75349445136035;VivaGym Finestrelles;853.1529828949491;Dia;250.33872351470632;Auditori Barradas;1416.700413983225;Farmàcia Josep Miquel Simon Baron;122.24261652787996;Escola Norai;119.35114227981092
105987536;https://www.idealista.com/inmueble/105987536/;bj;flat;60.0;False;3;1;True;False;False;No data;No data;No data;No data;No data;8905;7000.0;98000.0;la Farga;1069.6249755657625;Filmax Gran Via;2405.5412632394864;;96.52416851756593;Club esportiu Laietà;1111.2181082683985;Consum;207.8734938066521;Teatre Joventut;840.578130746432;Farmàcia Casanova Puigmartí, A.- Bagaria Casanova;79.65249593971207;Escola Pau Vila;234.34586976629657
105875429;https://www.idealista.com/inmueble/105875429/;1;flat;60.0;False;2;1;True;False;False;No data;No data;No data;No data;No data;8905;5000.0;164000.0;la Farga;690.5108173763217;Filmax Gran Via;2190.3629348172;;198.3760794828501;;628.5461233967226;Dhanda;271.83893795524114;Teatre Joventut;1101.4571659563328;Farmàcia Marc Trobat Domenech;33.20944138466495;Escola Josep Janés;136.9658496936979
105386639;https://www.idealista.com/inmueble/105386639/;3;flat;57.0;True;3;1;True;False;False;No data;No data;No data;No data;No data;8901;11000.0;199000.0;la Farga;110.74974060211528;Filmax Gran Via;2580.1470810578026;;286.9544888532667;;564.2470866990191;Lidl;200.5016914700981;Auditori Barradas;522.7317842653795;Farmàcia Immaculada Soucheiron Almela;91.9554816901712;Institut Can Vilumara;221.87184853369456
105980140;https://www.idealista.com/inmueble/105980140/;3;duplex;146.0;True;3;2;True;False;False;No data;True;No data;No data;No data;8908;No data;400000.0;Gran Via 2;472.9848498525636;Filmax Gran Via;338.35651544210606;;25.68876472961149;VivaGym;141.54621149690385;Carrefour;509.3840382119762;Auditori la Torrassa;1385.7264180432558;Farmàcia Teruel Roca, Anna M.;342.9987405517574;Escola Prat de la Manta;270.8309157350838
97894363;https://www.idealista.com/inmueble/97894363/;5;flat;68.0;True;3;1;True;False;False;No data;No data;True;No data;No data;8906;7500.0;182500.0;la Farga;1223.6842458621743;Filmax Gran Via;3327.249190177135;;143.33042736054082;VivaGym Finestrelles;704.3997607328185;Idl;145.39524458410048;Auditori Barradas;1184.5923441743882;Farmàcia Francesc Molins Roca;125.19517585028932;Escola Norai;206.29662545399023
105260610;https://www.idealista.com/inmueble/105260610/;6;flat;76.0;True;4;1;True;False;False;No data;No data;No data;No data;No data;8903;5000.0;289000.0;Gran Via 2;1133.313849295343;Filmax Gran Via;1167.2343581582172;;101.6710007716026;Judo Club l'Hospitalet;530.2439984231278;Condis;228.73512751722689;Auditori la Torrassa;482.2080340297313;Farmàcia Álamos López, Pilar;122.55289249681442;Acadèmia Cultura;251.0807725777468
104694826;https://www.idealista.com/inmueble/104694826/;7;flat;58.0;True;3;1;True;False;False;No data;No data;No data;No data;No data;8991;No data;190000.0;rafay fuit i verduras;896.8581415193156;Filmax Gran Via;1310.9268438874278;;184.3619274211575;Poliesportiu Municipal Gornal;168.1828962910037;Bonpreu;404.26007019229127;Auditori la Torrassa;1185.13499465586;Farmàcia De Bolós Giralt, Núria;364.594241703045;Institut Jaume Botey;176.05376350279627
105968102;https://www.idealista.com/inmueble/105968102/;2;flat;72.0;True;3;1;False;False;False;No data;No data;No data;No data;No data;8991;No data;176000.0;la Farga;920.7936421551752;Filmax Gran Via;1827.526140829401;;173.76447261682182;;556.5102511822748;Dhanda;408.46009821255694;Teatre Joventut;1014.8051084059792;Farmàcia Rodergas;204.650472748764;Institut Llobregat;177.8187962970167
