price;price_pred;propertyCode;desviations;deviacion_class
830000.0;791046.44;105518898;38953.5625;10_Alta_pos
400000.0;437673.8;105512195;-37673.8125;3_Alta_neg
790000.0;893494.25;99581952;-103494.25;1_Extrema_neg
575500.0;583105.25;104568950;-7605.25;5_Baja_neg
290000.0;293598.84;104430598;-3598.84375;6_Muy baja_neg
350000.0;363803.1;103890711;-13803.09375;5_Baja_neg
392000.0;445885.38;102589926;-53885.375;2_Muy alta_neg
500000.0;483646.44;105511135;16353.5625;9_Media_pos
1270000.0;755061.44;105472252;514938.5625;12_Extrema_pos
849000.0;809333.75;105843741;39666.25;10_Alta_pos
1250000.0;1595283.8;104797481;-345283.75;1_Extrema_neg
1350000.0;1438944.6;103251399;-88944.625;2_Muy alta_neg
520000.0;509681.62;105551632;10318.375;8_Baja_pos
1150000.0;1169456.5;105639270;-19456.5;4_Media_neg
600000.0;485950.28;105373015;114049.71875;12_Extrema_pos
350000.0;344596.28;102689885;5403.71875;8_Baja_pos
820000.0;850362.94;103741692;-30362.9375;3_Alta_neg
1890000.0;1900905.6;102223232;-10905.625;5_Baja_neg
1470000.0;1330520.6;102637366;139479.375;12_Extrema_pos
1295000.0;1348193.4;105309126;-53193.375;2_Muy alta_neg
880000.0;890876.2;104313786;-10876.1875;5_Baja_neg
960000.0;962715.75;104526170;-2715.75;6_Muy baja_neg
395000.0;404001.9;104974957;-9001.90625;5_Baja_neg
1050000.0;1017733.8;104688292;32266.1875;10_Alta_pos
1800000.0;1798915.8;99088478;1084.25;7_Muy baja_pos
760000.0;703055.5;105449524;56944.5;11_Muy alta_pos
2800000.0;3022551.2;104600313;-222551.25;1_Extrema_neg
1999930.0;1987429.6;102976877;12500.375;8_Baja_pos
750000.0;809922.9;104224197;-59922.875;2_Muy alta_neg
1400000.0;1208611.8;102680909;191388.25;12_Extrema_pos
725000.0;780464.9;92659324;-55464.875;2_Muy alta_neg
665000.0;673140.44;105497973;-8140.4375;5_Baja_neg
380000.0;336079.28;104440823;43920.71875;10_Alta_pos
950000.0;919829.94;104479041;30170.0625;10_Alta_pos
860000.0;814755.56;103795707;45244.4375;11_Muy alta_pos
