propertyCode;properties.name;properties.name_distancia
105491783;Col·legi Jesús i Maria;183.40760915448948
97141325;Escola Tècnico-Professional Xavier;146.28526682478147
104178912;Escola Ángel Baixeiras;350.8865934786413
100025324;Escola Massana;316.62279583975317
105218972;Escola Tabor;384.80235686098575
104501457;Escola La Flor de Maig;118.28293862413584
87308004;Institut de Nàutica de Barcelona;359.83218035740214
105279387;Santa Teresa - Ganduxer;233.3414238967615
104983984;Institut Lluïsa Cura;160.81319023390878
103858485;Centre Educatiu Mare de Déu del Roser;270.61092866984956
105960937;Escola Guinardó;265.3333189933068
105518898;Lleó XIII;53.1490004264531
105512195;Escola Pia Sant Antoni;394.87004493629667
99581952;Mary Ward;105.95074467776787
104568950;Escola Massana;295.00374051340816
104430598;Escola Tècnico-Professional Xavier;388.36283852646994
103890711;Institut Joan Brossa;339.35324404336484
102589926;acidH;241.89463952996226
105511135;Centre Educatiu Mare de Déu del Roser;318.02022939072606
105472252;Escola Nàutica Port Olímpic;257.0067958425599
105843741;Institut Front Marítim;218.57270577759917
104797481;Jesuïtes Casp - Sagrat Cor de Jesús;184.98247493110003
103251399;Institut Pedralbes;370.6116148656453
105551632;Escola Voramar;342.87394238432256
105639270;Escola Santa Dorotea. Salesianes Sarrià;233.45967224054024
105373015;Josep Tous;321.9733142591157
102689885;Mare de Déu de Núria;179.8452643039691
103741692;Institut escola Tres Fonts de Les Corts;319.43878445393557
102223232;Santa Teresa - Ganduxer;144.87547179798426
102637366;Prat;136.42005242516822
105309126;Santa Teresa - Ganduxer;378.8443034343845
104313786;Escola Tabor;305.8626382833514
104526170;Escola Tabor;108.28426973090868
104974957;Escola Lexia;196.12988707196922
104688292;Escola Súnion;518.2214019529185
99088478;Els Arcs;78.8086980401374
105449524;Sant Josep Oriol;55.488755610462604
104600313;Santa Teresa - Ganduxer;170.5739939447676
102976877;Jesuïtes Sarrià - Sant Ignasi;210.53614688063968
104224197;Escola Xirinacs;27.43631896045062
102680909;Col·legi Pare Manyanet;217.55559769309681
92659324;Escola Pia Balmes;169.0971537216265
105497973;Escola Diputació;204.508176898986
104440823;Escola Lexia;157.57389511830317
104479041;Escola Pia Sant Miquel;371.5811991899002
103795707;Institut Poeta Maragall;364.589079320489
105276471;La Salle Comtal;214.74728147801088
103984196;Institut Pedralbes;453.49183291678816
105221112;Escola Tabor;323.0219593410376
105097292;Col·legi Pare Manyanet;333.71217267272925
103854305;Mare del Diví Pastor;166.88965757786266
104644553;Escola de la Concepció;270.4133268679685
104332220;Escolàpies Llúria;81.82495090491699
105959607;Escola el Polvorí;243.19151199917147
105960165;Escola Enric Granados;280.4772596942735
104061641;Col·legi Asunción de Nuestra Señora;281.818357575033
105474671;Escola Ramon Llull;124.0585414254436
105593267;Col·legi Urgell;159.01712930346852
105961488;Escola Sagrada Família;131.6658181102862
105926431;Vedruna Immaculada Barcelona;78.19564000701921
105958208;Escola d'Aprenents Sant Genís dels Agudells;453.2856363508015
105961327;Escola Cal Maiol;267.98199809339604
105168560;Escola Sagrada Família;107.17912971942903
105961423;Institut Tecnològic de Barcelona;428.9471751995521
