propertyCode;Teatro ;Teatro _distancia
105472252;Teatre Akademia;152.82897370243955
105843741;Casino l'Aliança del Poblenou;486.60400460902497
104797481;Teatre Borràs;142.78494544751243
103251399;Teatre Joventut;1712.0016058041833
105551632;Sala Poblenou. Centre Moral i Cultural;656.1716498686523
105639270;;219.97338222748857
105373015;Auditori la Torrassa;848.1567001257501
102689885;Teatre Nacional de Catalunya. Sala Tallers;979.7135050270346
103741692;;1014.7245621908258
102223232;;705.0841532874515
102637366;Coliseum;671.8719072057048
105309126;;715.3613688153918
104313786;Teatre Gaudi;751.591654602901
104526170;Teatre Nacional de Catalunya. Sala Tallers;900.4273699384612
104974957;La Gleva;1251.3524328248805
104688292;La Gleva;470.8909375615328
99088478;La Gleva;865.7839697239309
105449524;La Villarroel;66.43290009705315
104600313;;1010.181782036167
102976877;Centre Parroquial de Sant Vicenç de Sarrià;454.30892107552484
104224197;Aquitania;768.7553662442986
102680909;Aquitania;919.0975789073398
92659324;Centre Artesa Tradicionarius;413.40652036227726
105497973;La Villarroel;561.8619411926175
104440823;La Gleva;1469.139813752581
104479041;Teatre Akademia;534.08501241858
103795707;Jove Teatre Regina;278.914155391581
105276471;L'Antic Teatre;176.76156822703945
103984196;Teatre Joventut;1558.6210314498342
105221112;Teatre Gaudi;785.3232590030279
105097292;Aquitania;816.4439214877227
103854305;Teatre Borràs;394.1212982254162
104644553;Taller Masriera;245.5206175216667
104332220;Taller Masriera;444.06613810649253
105959607;Teatro de los sentidos;263.8282887780151
105960165;Teatro de los sentidos;549.8485863769937
104061641;Sala Poblenou. Centre Moral i Cultural;146.85883272259449
105474671;Taller Masriera;693.0781993334435
105593267;La Villarroel;536.0714763174614
105961488;Sant Andreu Teatre;1051.9986778420866
105926431;Teatre Nacional de Catalunya. Sala Tallers;910.5871625379261
105958208;La Gleva;3393.0909705394456
105961327;Sants Teatre del Centre;305.3924415009756
105168560;Teatre Gaudi;356.68418001679254
105961423;Escola de Circ Ateneu Nou Barris;1277.6791469034554
100187879;Teatre Gaudi;356.3994142545267
105635942;Auditori Sant Martí de Provençals;1427.9149121981595
105168561;Teatre Gaudi;356.68418001679254
105952427;La Gleva;1368.5971028056563
103113045;Teatre Gaudi;356.3994142545267
101725760;Casino l'Aliança del Poblenou;1392.3702234760951
104344732;La Puntual;84.78324005718287
104909731;;888.2359375392817
100947336;Casino l'Aliança del Poblenou;1392.3702234760951
104486547;Centre Parroquial de Sant Vicenç de Sarrià;342.65074432318005
104052936;Teatre Gaudi;356.3994142545267
99171470;Teatre Gaudi;356.3994142545267
105430531;Teatre Gaudi;701.1929389591976
104012569;La Gleva;1048.8680792806338
104053151;Teatre Gaudi;356.3994142545267
105611053;Auditori Sant Martí de Provençals;1427.9149121981595
100594011;Centre Parroquial de Sant Vicenç de Sarrià;1073.9178642050908
104610824;La Puntual;97.99195243451194
105381042;Golem's;974.5201341630159
103983877;Aquitania;932.628548040391
105868499;Golem's;450.6124342250282
105923759;Auditori Sant Martí de Provençals;582.3793486926501
105568078;Nau Ivanow;810.6422198176554
103213041;Teatre Akademia;446.8651491283274
105959081;L'Autentica Teatre;1824.8605461555233
103458179;La Puntual;410.8387471709593
105930161;Teatre Muntaner;288.3292411643707
96334152;Casino l'Aliança del Poblenou;1847.1282815016602
105473656;sala Ovidi Montllor;128.91644546725442
103990708;;812.2480348715115
105280335;Aquitania;739.8112851626627
101230243;Centre Parroquial de Sant Vicenç de Sarrià;3574.8747506515224
105437227;;732.0697458066636
101254773;Centre Parroquial de Sant Vicenç de Sarrià;3783.190284557359
104964771;Sant Andreu Teatre;1877.7608570141633
104348524;La Gleva;934.5198346604049
103030292;La Gleva;254.07874584311557
83767550;Casino l'Aliança del Poblenou;1514.7022482347693
105960040;Sala Upload;458.2990744431925
105600750;Teatre Muntaner;273.76148090707323
104649629;La Gleva;535.1472456073213
102230887;L'Autentica Teatre;1846.7918764592544
103181179;Microteatre Barcelona;490.75537235312265
101675966;La Villarroel;273.2398781262555
101403621;Jove Teatre Regina;315.96915152105134
105322721;;517.2606839478948
104425919;Tablao Flamenco Cordobes;439.08216259372557
105090311;Golem's;246.12012540062915
102355604;;479.2832897758869
105035037;Aquitania;612.4806586511198
105766866;Sant Andreu Teatre;956.753148421059
105834681;La Villarroel;776.5816614728917
102008225;Centre Parroquial de Sant Vicenç de Sarrià;3338.4238836422496
105224153;;873.7299470023607
101872566;La Villarroel;449.8209873238881
104205457;La Villarroel;637.2964860013557
105618930;La Gleva;362.1921770399997
105946144;L'Autentica Teatre;2770.5141688995336
105329353;Club Capitol;242.24917698836032
105898660;Poliorama;354.72464121238403
105953187;Aquitania;742.3581097547192
103518313;Sant Andreu Teatre;1643.2460487470723
104731007;;1157.3615416844775
102795136;Centre Parroquial de Sant Vicenç de Sarrià;1471.5547329541168
104353200;L'Autentica Teatre;1400.230089654431
104150679;Jove Teatre Regina;418.05993372057316
101423471;Auditori la Torrassa;382.5464303353024
105046611;Aquitania;663.0091002400682
104073363;La Villarroel;483.6267947782513
105961779;Casino l'Aliança del Poblenou;1724.582237392737
103713739;La Gleva;451.0926840501113
105659926;La Seca Espai Brossa;414.53172949762643
104963717;La Gleva;185.2576755878331
101941375;Palau de la Música Catalana;41.31791375722122
88318137;Casino l'Aliança del Poblenou;1446.089739636616
104565724;Teatro Principal;299.19729406081433
102912353;Casino l'Aliança del Poblenou;354.17571113592857
101651267;Casino l'Aliança del Poblenou;1651.906063974536
103258040;;1454.5017366394063
105228892;Palau Dalmases;465.8179747803408
104595313;Teatre Nacional de Catalunya;437.60490085392007
105390672;Jove Teatre Regina;101.30925638893581
97362092;Casino l'Aliança del Poblenou;1530.6162259398232
104254346;Microteatre Barcelona;367.19641650385114
101087741;Sala Hiroshima;64.09954866329888
104801319;La Seca Espai Brossa;212.44726198165506
104631874;Microteatre Barcelona;367.33683619106364
105404692;La Gleva;725.268658613715
103364380;La Gleva;457.05037243367804
104620738;Poliorama;251.52266145561458
103478038;La Gleva;1166.4950523600623
105462652;;1111.0826873571107
103516759;Aquitania;868.8277015062727
104648836;La Gleva;548.8815243837945
104694090;;883.3619688627977
104257706;Jove Teatre Regina;504.52656236317483
105338844;Teatre Akademia;911.6067915452633
104705532;La Gleva;650.9077059742646
104680716;Centre Parroquial de Sant Vicenç de Sarrià;889.5870518145795
103013559;Gran Teatre del Liceu;138.54847991322157
103210648;La Gleva;1228.1942658137082
105405206;;888.8514889745979
105432622;Tablao Flamenco Cordobes;475.7037524626678
103518364;Teatre Akademia;90.63892520604143
103272413;Golem's;496.4064196249764
104388372;Conservatori Superior de Música del Liceu;161.99453232464663
105199115;Casino l'Aliança del Poblenou;414.5203953236185
105030838;Microteatre Barcelona;566.6682101660507
104542928;Aquitania;10.088860738523236
104919516;Centre Parroquial de Sant Vicenç de Sarrià;989.2093906295017
104396322;Teatre Gaudi;1144.7322323763246
99750257;Centre Parroquial de Sant Vicenç de Sarrià;1446.6881042818443
104160734;Teatro de los sentidos;477.5555865048937
105939300;Palau Dalmases;442.0757871524016
105849885;Golem's;456.5681804075001
105911337;La Casa de los Contos;174.24101383250206
103518556;Gran Teatre del Liceu;27.558130355621532
105946146;Teatre Tantarantana;142.49998172136083
105909819;Teatre Gaudi;641.4258493106939
105957219;Teatre Akademia;616.6565688334066
102860017;Teatre Borràs;163.16501583260248
105960012;La Puntual;231.95730203885876
105962434;Jove Teatre Regina;632.4683071050059
105788915;Oracles Theater;35.70289610533899
105750598;;341.2716854821459
105958604;Teatre Gaudi;686.6422458806245
105229591;Teatre Akademia;486.239417042816
103718170;Palau Dalmases;362.2139903458384
105519537;Taller Masriera;635.7505239274133
