propertyCode;latitude;longitude;estacion_mas_cercana;distancia_metros
100570243;41.3719602;2.1111906;Pubilla Cases;397.85236756786423
105981327;41.3730021;2.1010127;Can Vidalet;175.31269885175047
104965572;41.3610058;2.1347567;Ciutat de la Justícia;288.37423858115613
102982913;41.3731718;2.1243726;Badal;463.6852089716092
104412288;41.3696818;2.128321;Santa Eulàlia;100.85429759618958
101081854;41.363106;2.1119739;Sant Josep;274.79005174455256
105623835;41.368893;2.1009121;Can Serra;203.22627119354917
105648396;41.3637456;2.1097826;Sant Josep;314.16917517725074
104230634;41.3684968;2.1150913;Torrassa;69.82004507908314
100223151;41.3731296;2.1183688;Collblanc;304.75533367578447
104637446;41.363058;2.1186164;Can Tries - Gornal;261.8676954888957
105305514;41.3621629;2.1074593;Sant Josep;277.65056412847986
104329991;41.3666302;2.1252895;Santa Eulàlia;367.41093433330343
105974642;41.3742055;2.120466;Collblanc;253.09932825565417
104541916;41.3730975;2.122659;Collblanc;470.88334246783006
105776772;41.3694095;2.1086838;Florida;154.23307588067627
105023800;41.3573984;2.1244718;Europa-Fira;65.68319788491928
100290557;41.3645996;2.1086247;Florida;425.6533418748323
105812202;41.3616972;2.1302798;Ildefons Cerdà;59.82540758489569
104211251;41.373128;2.1020961;Can Vidalet;249.15523379958762
105911205;41.3575687;2.1262443;Europa-Fira;58.413377150322056
105316297;41.3746247;2.1089996;Pubilla Cases;181.18378633326293
106002623;41.3726677;2.117221;Collblanc;369.5498141448818
99050607;41.3692126;2.1012942;Can Serra;208.2232570870233
105504124;41.3635951;2.1073645;Sant Josep;386.1812638840784
105829397;41.3724486;2.1144364;Ernest Lluch;432.3202635525474
105943370;41.3771826;2.1182077;Collblanc;146.31934260605965
105995775;41.3727986;2.1247619;Badal;463.5518039447782
102190295;41.3728983;2.1201161;Collblanc;360.11966914226446
104342020;41.373729;2.1013896;Can Vidalet;259.89356189847604
105908302;41.3679097;2.1281658;Santa Eulàlia;105.41771608093669
104925010;41.3683657;2.0948886;Can Boixeres;344.5910494824601
105915142;41.3727133;2.111551;Ernest Lluch;355.7325573028041
105938666;41.3734105;2.1237715;Badal;492.47850225242007
105790041;41.371387;2.1010279;Can Vidalet;112.99933486070424
88674718;41.3676218;2.1157507;Torrassa;44.996641733830494
106014984;41.3716614;2.1097917;Pubilla Cases;327.1837563719741
106006487;41.3596389;2.1317045;Ildefons Cerdà;212.66963543072524
104626850;41.3737881;2.1025689;Can Vidalet;327.31204961763433
105829949;41.3542858;2.0967575;Avinguda Carrilet;654.79391303863
105441192;41.3755032;2.1178699;Collblanc;60.75712905319796
105615376;41.3585988;2.0949912;Avinguda Carrilet;627.863678986372
102951083;41.3707175;2.1181381;Torrassa;286.05961170967595
105765410;41.3602016;2.0972508;Avinguda Carrilet;460.6117018653837
105891161;41.3648759;2.1116996;Florida;413.49115100733053
105876253;41.362165;2.1051715;Avinguda Carrilet;425.51022746942897
105574489;41.359932;2.120555;Can Tries - Gornal;215.75332477655266
102475241;41.3684076;2.1127965;Torrassa;241.0015693617296
105893492;41.3696555;2.1191192;Torrassa;250.24003184910782
