propertyCode;latitude;longitude
105554654;41.3943912;2.168417
105273912;41.408282;2.2177152
105627809;41.3999718;2.1733353
105042953;41.3819213;2.1502042
105940412;41.4013252;2.1640354
105042975;41.3819213;2.1502042
101010221;41.3905334;2.1730852
105043047;41.3819213;2.1502042
105499844;41.3806973;2.1645244
102260523;41.3742768;2.1686108
105155524;41.4103572;2.1420944
105130665;41.3865858;2.1791158
105280103;41.4080125;2.167961
105280956;41.3771811;2.175686
104763499;41.3967184;2.1293798
105328392;41.3888132;2.1726803
94114913;41.3887451;2.1671779
94114930;41.3900309;2.1647601
102536699;41.400847;2.1717645
94114936;41.3874188;2.1638102
94114926;41.3889283;2.1638406
94114931;41.3905583;2.1644529
94114901;41.3895441;2.1643508
105759795;41.3963179;2.1785704
94114915;41.3900124;2.1635541
93777468;41.3741175;2.1903473
105262140;41.4420528;2.1930999
98895098;41.3911336;2.1782572
94114943;41.3878774;2.1633807
105940441;41.3934439;2.1398235
105538291;41.3915235;2.1173363
105525958;41.3871156;2.1068227
97508293;41.3924439;2.1728693
105280187;41.4281405;2.1763537
104400956;41.3940243;2.1484089
105962262;41.4049955;2.1714073
104692139;41.3913079;2.1430322
104973166;41.3946032;2.1956152
103989417;41.4041501;2.1279209
101974543;41.3875943;2.1845419
105395911;41.395936;2.1377203
105758641;41.4175994;2.1864175
105533212;41.4445811;2.1832586
103518022;41.3802564;2.1750503
100001404;41.3771604;2.1703408
104947741;41.4471632;2.1906729
105958542;41.3958737;2.1756503
105681331;41.3991577;2.1590048
105673235;41.4208858;2.1507113
104851242;41.3993444;2.1239227
105408249;41.3889061;2.1651971
105960939;41.3809347;2.1751452
104605440;41.4192567;2.1744729
105957702;41.4117952;2.2151768
104609264;41.4035208;2.1304072
105340258;41.3690504;2.13809
101567952;41.3763058;2.1683956
105946397;41.3786274;2.1794291
104159904;41.3811898;2.1814996
104771022;41.3974075;2.1448548
104821872;41.3957501;2.1367359
105491783;41.4094618;2.1341026
97141325;41.3859579;2.1788303
104178912;41.381219;2.1820975
100025324;41.3837984;2.1716854
105218972;41.4064295;2.1755939
104501457;41.4031931;2.1969395
87308004;41.3789297;2.1890793
105279387;41.3973404;2.133238
104983984;41.3804528;2.1617936
103858485;41.3832597;2.1601908
105960937;41.4175544;2.1782102
105518898;41.4128691;2.1369774
105512195;41.3773994;2.1606783
99581952;41.4023661;2.1408748
104568950;41.3813892;2.1737503
104430598;41.3856668;2.1810325
103890711;41.4130338;2.1648319
102589926;41.4003886;2.1598361
105511135;41.3875916;2.1573364
105472252;41.3941038;2.1473258
105843741;41.401018;2.2076242
104797481;41.3889446;2.1723028
103251399;41.3854812;2.1093865
105551632;41.3973634;2.1955502
105639270;41.3937597;2.1270423
105373015;41.3769848;2.1272613
102689885;41.4092496;2.1858864
103741692;41.3865225;2.1260488
102223232;41.398472;2.1321198
102637366;41.3943514;2.1661187
105309126;41.4010062;2.1299769
104313786;41.4079491;2.176307
104526170;41.4066124;2.1797309
104974957;41.4130368;2.1404088
104688292;41.4063446;2.1430518
99088478;41.4003914;2.1386096
105449524;41.3845431;2.1580534
104600313;41.3999215;2.1344716
102976877;41.4040653;2.1185464
104224197;41.3832874;2.1448185
102680909;41.3901791;2.1364599
92659324;41.3991991;2.1528714
105497973;41.3804455;2.1544378
104440823;41.4152809;2.1405278
104479041;41.3940301;2.151823
103795707;41.3944697;2.1552357
105276471;41.3878177;2.1774274
103984196;41.383919;2.1095435
105221112;41.4057981;2.1764397
105097292;41.3919094;2.1375918
103854305;41.3922702;2.174512
104644553;41.3948228;2.1707123
104332220;41.3942723;2.1689986
105959607;41.3612889;2.1426748
105960165;41.3587327;2.1440345
104061641;41.4000832;2.2011804
105474671;41.4005508;2.1766965
105593267;41.3871862;2.1534214
105961488;41.4393155;2.1850701
105926431;41.4073011;2.1804927
105958208;41.4314913;2.1344254
105961327;41.3718856;2.1337807
105168560;41.4050031;2.1716378
105961423;41.455103;2.189808
100187879;41.4049913;2.17162
105635942;41.4109994;2.2110663
105168561;41.4050031;2.1716378
105952427;41.4075813;2.1343415
103113045;41.4049913;2.17162
101725760;41.4085173;2.2124841
104344732;41.3862878;2.180673
104909731;41.396725;2.1343747
100947336;41.4085173;2.2124841
104486547;41.3975263;2.1201958
104052936;41.4049913;2.17162
99171470;41.4049913;2.17162
105430531;41.4137336;2.1694923
104012569;41.3975338;2.1383324
104053151;41.4049913;2.17162
105611053;41.4109994;2.2110663
100594011;41.3914722;2.1174231
104610824;41.3875443;2.1807238
105381042;41.4146465;2.16326
103983877;41.3944981;2.1375315
105868499;41.4097419;2.1596551
105923759;41.4160736;2.1938933
105568078;41.4130224;2.1916582
103213041;41.3961947;2.1451112
105959081;41.4225905;2.1509782
103458179;41.3896042;2.1836626
105930161;41.3857787;2.1609106
96334152;41.4091108;2.2172581
105473656;41.3722872;2.1578798
103990708;41.402573;2.1287114
105280335;41.3838104;2.1466346
101230243;41.422104;2.0966741
105437227;41.3907106;2.1220271
101254773;41.4245155;2.0963768
104964771;41.427555;2.1717264
104348524;41.4115177;2.1446812
103030292;41.4009767;2.1464089
83767550;41.4068855;2.2151192
105960040;41.3724286;2.1471081
105600750;41.3818317;2.1619901
104649629;41.4022206;2.1411724
102230887;41.4230752;2.1524057
103181179;41.3974458;2.1661984
101675966;41.3832911;2.1595985
101403621;41.3976463;2.1588256
105322721;41.3940752;2.130823
104425919;41.3819786;2.1774126
105090311;41.4065495;2.1635788
102355604;41.3990404;2.1290744
105035037;41.3925287;2.1397536
105766866;41.4377411;2.1838206
105834681;41.3815307;2.1511024
102008225;41.4171297;2.0954927
105224153;41.3911051;2.1199631
101872566;41.3882328;2.155864
104205457;41.3849709;2.1517087
105618930;41.4005941;2.1478649
105946144;41.4315638;2.1555578
105329353;41.384939;2.1728985
105898660;41.3834461;2.1738818
105953187;41.3947351;2.1398487
103518313;41.4245266;2.1748496
104731007;41.4033485;2.1334426
102795136;41.3893014;2.113701
104353200;41.4182774;2.1500522
104150679;41.3931847;2.1551662
101423471;41.3731286;2.1254648
105046611;41.3940174;2.1401689
104073363;41.3801678;2.157658
105961779;41.4078948;2.2167234
103713739;41.4071956;2.14664
105659926;41.3853848;2.1860942
104963717;41.4032312;2.1442342
101941375;41.3879509;2.1751598
88318137;41.4075267;2.2139481
104565724;41.3786509;2.1776683
102912353;41.3966895;2.2034202
101651267;41.4065144;2.2167389
103258040;41.4074366;2.1320829
105228892;41.3822823;2.1779353
104595313;41.4029238;2.1883351
105390672;41.3959241;2.1561905
97362092;41.4050896;2.2161859
104254346;41.4048846;2.1648561
101087741;41.3735491;2.16914
104801319;41.3834959;2.1832456
104631874;41.3983621;2.1653797
105404692;41.3999211;2.1402438
103364380;41.3991359;2.1453455
104620738;41.3837665;2.1729904
103478038;41.4055507;2.1356272
105462652;41.3887901;2.1191011
103516759;41.3953862;2.1388987
