properties.name;latitude;longitude;distancia
Sant Andreu;41.4366293;2.1911382;6968.362313055693
Trinitat Vella;41.4487676;2.1937366;7882.753544055905
Paral·lel;41.3749142;2.1693908;5527.2112135717525
Paral·lel;41.375133;2.1693278;5507.7992332173935
Universitat;41.3848285;2.1640533;4521.918534700537
el Clot;41.4102828;2.1867259;5751.332036684583
La Pau;41.4236829;2.2051956;7528.868475584348
Trinitat Nova;41.4492053;2.182423;7179.203213740699
Zona Universitària;41.3841003;2.1116655;2528.1262864334253
Verdaguer;41.399772;2.1681937;4248.382838253347
Vall d’Hebron | Sant Genís;41.4249128;2.1423965;2892.948405050372
Gorg;41.4405041;2.2337073;10379.272281967464
Europa-Fira;41.3571111;2.1251579;5498.29421069365
Diagonal;41.3944431;2.158857;3651.975064926008
Passeig de Gràcia (L2);41.3894431;2.1682772;4593.28866103109
Foc;41.3558512;2.1421622;5955.966364347399
Foneria;41.3604566;2.1386556;5376.495290212728
Provençana;41.3613875;2.1242931;5018.388608888935
Ciutat de la Justícia;41.3632435;2.1330085;4944.729422095403
Sant Boi;41.3484877;2.0429512;8991.039132906419
Ernest Lluch;41.3758955;2.1120352;3419.0258048040214
Mercat Nou;41.3727946;2.1333313;3935.739781745188
Plaça de Sants;41.37563;2.1353228;3700.5436662599454
Torrassa;41.3680166;2.1156299;4260.8883358995
