propertyCode;latitude;longitude;estacion_mas_cercana;distancia_metros;farmacia_mas_cercana;distancia_farmacias;farmacia_mas_cercana_idx;autobus_mas_cercana;distancia_autobuss
99197470;41.3940536;2.1613255;Diagonal;210.92873684172483;Farmàcia Teresa Castells Soler;107.86167767859192;924.0;Mallorca - Pg de Gràcia;93.99650938856321
101685625;41.4018778;2.1701324;Verdaguer;244.3399078951528;Farmàcia Perez Villagrasa, A / Tomas Sabate, M;52.994737646063165;782.0;Mallorca, 367;221.77514133871787
101327534;41.4037995;2.1715053;Sagrada Família;204.3439242207369;Farmàcia Bricio Alonso, Beatriu;92.13710034795528;676.0;Sagrada Familia;205.98446754012156
101327557;41.4071252;2.1728468;Sagrada Família;351.90477192512355;Farmàcia Mérida Donoso, Salvador;70.29066453371485;1691.0;Indústria - Lepant;100.53526376311284
100208068;41.404143;2.170239;Sagrada Família;308.26748874692566;Farmàcia Bozal de Febrer, Núria;71.65669101776864;553.0;Indústria - Nàpols;187.4409696570566
101718448;41.398535;2.170524;Verdaguer;238.4313521201425;Farmàcia Isabel Romera Guijarro;62.62679746018672;1721.0;Pg de Sant Joan - Pl Mossèn Jacint Verdaguer;16.801617315289192
100208062;41.4034198;2.1692465;Verdaguer;375.98120330355465;Farmàcia García Sanmartí, Esteve Maña;74.27474771358754;552.0;Indústria - Nàpols;185.53080991270602
100208025;41.4049683;2.1717784;Sagrada Família;205.70797939872125;Farmàcia Audet Bonet, Gemma;81.9846334221761;323.0;Sagrada Familia;269.4748746962073
100678818;41.3952087;2.1608129;Diagonal;109.17559148442534;Farmàcia Teresa Castells Soler;114.3141319522621;924.0;Passeig de Gràcia - La Pedrera;25.556354709142184
104564576;41.3979439;2.1734564;Girona;385.7256118993009;Farmàcia Torrents Grau, Glòria;60.24696486867072;1725.0;Pg de Sant Joan - Aragó;109.9965096416039
105878458;41.3783789;2.160874;Sant Antoni;292.1605247643233;;90.09538932917847;2362.0;Manso - Comte Borrell;118.34678214844438
103614322;41.395492;2.1398008;la Bonanova;397.3273504623699;Farmàcia García Llorente, Carlos;140.85464101827878;2047.0;Calvet - Tenor Viñas;182.07153933355215
102797403;41.39639;2.1411;Muntaner;288.6257471690077;Farmàcia Pantaleoni Giralt, Albert;37.4823890502377;522.0;Calvet - Tenor Viñas;72.6033086340795
104578259;41.3792889;2.1762239;Drassanes;262.3758827740828;Farmàcia Gironès Saderra, Montserrat;16.815426973758175;1749.0;La Rambla - Pl del Teatre;194.11089506764245
104852492;41.3946617;2.1419202;Muntaner;446.675197626185;Farmàcia Sanchis Tintoré, Rosario;50.80524446709901;2057.0;Calvet - Tenor Viñas;154.86812153047103
101127926;41.3815241;2.1796481;Jaume I;286.1288586122;Farmàcia Paricio Toledo, Jesus Carlos;74.28156056527763;234.0;Ample - Fusteria;86.80953829455879
105092274;41.4097385;2.142384;Vallcarca;301.1780995979792;Farmàcia Sunyer i Lefort, Jordi;191.50114098090648;131.0;Marmellà - Hurtado;87.46235100321827
105298934;41.3865331;2.1724966;Urquinaona;185.342828470166;Farmàcia Barenys;106.85222928772431;1728.0;Pl. Catalunya - Portal de l'Àngel;136.5121827246522
102053570;41.3965543;2.1345707;la Bonanova;190.39728386858687;Farmàcia Clara García Brosa;68.81432878677653;1950.0;Via Augusta - Ronda General Mitre;149.22037546845038
99933765;41.3866546;2.1642784;Universitat;103.6825921665583;Farmàcia Alegre Valls, J. - Rodríguez Pareja, J.;136.11794807048548;795.0;Pl Universitat;68.17744983848308
102207853;41.3900614;2.1640235;Passeig de Gràcia (L2);362.3358904479836;Farmàcia León Alonso, Yolanda;99.20542298728095;1119.0;Balmes - Aragó;146.40774513232964
98264311;41.3919731;2.1693451;Passeig de Gràcia (L2);294.8390784990129;Farmàcia Morral Suarez, Clara;39.58125514990166;754.0;Llúria - Gran Via;103.18130819683199
104949730;41.396471;2.139599;la Bonanova;322.9350178667728;Farmàcia García Llorente, Carlos;95.64514765065644;2047.0;Via Augusta - Calvet;155.20014049846608
105107111;41.3810917;2.1717657;Liceu;114.3018640233601;Farmàcia Ramón Mauri, Sergio;51.36848681220303;372.0;La Rambla - Liceu;137.35405062057777
29714252;41.3877834;2.1788274;Urquinaona;411.98745718745016;Farmàcia Cardona Arenas, Beatriu;56.65555508981394;688.0;Francesc Cambó - Freixures;209.7894944836596
85723149;41.3923025;2.1655828;Passeig de Gràcia (L2);389.40017869263033;Farmàcia Núria Massot Moner;37.51325227987022;932.0;Barcelona - c. Aragó;34.66784590831633
104851415;41.3808548;2.1749036;Liceu;164.64537202233947;Farmàcia Enrich Esteve, Anna;46.2689686298501;912.0;La Rambla - Liceu;122.18497074337067
101064998;41.4100088;2.1570751;Joanic;658.787840628809;Nova Salut;110.33637676259164;917.0;Torrent de les Flors - Cardener;43.09590986399098
103194014;41.3969507;2.1687735;Girona;281.47264005874104;Farmàcia Bragutal Rovira, S - Belmonte Martínez;96.37741611796152;1723.0;Mercat de la Concepció;39.7586796289218
105062780;41.3913651;2.1662162;Passeig de Gràcia (L2);274.36929416445986;Internacional;30.63121831403352;462.0;Parada Bus turistic;47.572646722853435
105236877;41.3927762;2.1709569;Girona;249.61088919747405;Farmàcia Alarcón Ruíz, M. Lluïsa i Andreu;50.89321194093373;755.0;Gran Via - Llúria;97.67121565757826
101164322;41.4069887;2.1150389;Reina Elisenda;969.9318947517744;Farmàcia León Berrocal, Ronald Elisvan;465.9106425126799;2066.0;Sarrià;347.0984545728437
102028812;41.397112;2.1666273;Verdaguer;323.1629966482697;Farmàcia Cortes Bosch de Basea, Magda;39.67146822680228;979.0;Bruc-Provença;86.58946446430825
105627785;41.3939598;2.1675039;Girona;312.2268375183613;Farmàcia Riera Alibés, Francisco;90.30735382155962;460.0;Llúria - Aragó;32.64101598431554
98140444;41.3893738;2.1746733;Urquinaona;30.72957078472159;Farmàcia Martínez Campos, Juan José;70.60056868514687;774.0;Ronda Sant Pere - Plaça Urquinaona;32.3434831942729
104046300;41.3944667;2.1585175;Diagonal;28.513648354405728;Farmàcia Sanchis Foret, Maria del Mar;3.4996186622474297;925.0;Balmes - Roselló;161.0143077491987
105423649;41.38972;2.1703122;Passeig de Gràcia (L2);172.95896462041253;Farmàcia Galup Russines, Mireia;44.787744355159255;468.0;Casp - Pau Claris;52.383786403879355
105683076;41.3892318;2.1644107;Passeig de Gràcia (L2);324.2372718009421;Farmàcia González-Meneses;148.06085225726935;2306.0;Eixamplle;98.09713351044034
105445322;41.3978004;2.1609313;Diagonal;222.43438318205904;Farmàcia Castro Acción, Jose Luis;78.60474186444903;1016.0;Torrent de l'Olla - Còrsega;98.85617256159642
105488312;41.3880181;2.1630173;Universitat;269.60686663950025;Farmàcia González-Meneses;108.9071750558192;2306.0;Eixamplle;81.70733513670183
104533323;41.4127747;2.1039192;Reina Elisenda;2002.4290157102591;Farmàcia Federico Carapuig Ordoñez;72.96905079293379;1891.0;Mont d'Orsà - Pl Vallvidrera;30.822348246111876
103621825;41.3988234;2.1309157;les Tres Torres;136.5254463677851;Farmàcia Vergós;97.69908651089536;541.0;Calatrava - Vergós;91.28083331360145
103117980;41.3808924;2.1754334;Liceu;205.3630988556989;Farmàcia Enrich Esteve, Anna;87.79404632012357;912.0;La Rambla - Liceu;166.43644831219694
104673464;41.4138183;2.1203077;Avinguda Tibidabo;1482.527777324192;Farmàcia León Berrocal, Ronald Elisvan;1037.7758392240492;2066.0;Carles Riba-Josep Maria Lledó;374.79845791067953
105410182;41.3901678;2.1764916;Urquinaona;171.9033134972031;;77.29642030085378;2357.0;Ronda Sant Pere - Girona;47.9818251522965
102875299;41.3941301;2.1012096;Zona Universitària;1404.7412612457051;Farmàcia Finestrelles;1042.820086563243;1904.0;Av Pearson - Ptge Ametllers;291.7970781540492
105570427;41.393111;2.1686803;Girona;285.4161541054544;Farmàcia Miserachs Lalanda, Marta;45.48779535648266;1729.0;Llúria - Aragó;108.05144421192334
100593458;41.3839119;2.1641591;Universitat;102.18276146261287;Farmàcia Gallardo Sauret, Montserrat;14.687616805556257;2154.0;Torres i Amat - Ptge St Bernat;68.21375907878196
104614227;41.3908985;2.1740577;Urquinaona;146.2650100516306;Farmàcia Aguilar Pérez, M. Francisca;113.29362923339582;644.0;Bruc - Rda. Sant Pere;121.58052329239696
105047668;41.3879275;2.1204861;Palau Reial;322.23443686892875;Farmacia Marta Grau;201.33222513460453;165.0;Pl Pius XII;107.39487314931526
104313133;41.3932438;2.1613168;Diagonal;245.0744217976488;Farmàcia Jaume Enrich Murt;41.17551376545663;764.0;Mallorca - Pg de Gràcia;48.7866838609458
105398720;41.3969594;2.1621515;Diagonal;216.61373600028497;Farmàcia Castro Acción, Jose Luis;107.95047873206356;1016.0;Pau Claris - Rosselló;49.923473952626814
99793672;41.4078556;2.1265181;Avinguda Tibidabo;911.833892663648;Farmàcia Melguizo;466.8791712493472;667.0;Planella - Marquesa de Vilallonga;113.1216098272078
105635832;41.3846999;2.1590676;Urgell;246.29985222180832;Farmàcia Cutillas Bou, Martin Augusto;85.50521611303608;2094.0;Villarroel - Gran Via;146.33122355382787
105468180;41.373561;2.131256;Mercat Nou;193.3594790318646;Farmàcia J. Estruch;27.568165651611388;2000.0;Badal - Canalejas;16.596340681211306
105202481;41.3805349;2.1614375;Sant Antoni;161.3166952834087;Farmàcia Barraquer Moner, Mercedes;24.074271609797865;1103.0;Floridablanca - Comte d'Urgell;13.620975972834515
103740877;41.3879538;2.125841;Maria Cristina;31.91200437311531;Farmácia Fernandez i Galofré;115.74917352933736;920.0;Plaça Reina Maria Cristina;3.8516132516300265
105570352;41.3844911;2.1566406;Urgell;291.44329012140827;Farmàcia Rodríguez Alsina;91.1763698128884;796.0;Comte d'Urgell - Aragó;93.51251225858299
100575828;41.3940535;2.1643136;Diagonal;421.4251031467325;Farmàcia 1896;68.14410845986004;933.0;Pau Claris - Mallorca;65.69190941944375
104230823;41.3961629;2.1554849;Diagonal;340.6057561143675;Farmàcia Serra Mandri;43.4535342606132;770.0;Via Augusta - Diagonal;20.749240864790202
105581104;41.4028702;2.1325153;les Tres Torres;594.6369778230984;Farmàcia Miralles;103.28644047270188;666.0;Ganduxer - Emancipació;110.94024860721588
105303126;41.4121893;2.1527172;Vallcarca;684.225109084119;Farmàcia Pararols Valldaura, Cristina;103.6321186363116;2035.0;Larrard - Rambla Mercedes;100.57665068629973
105464722;41.4027196;2.1417931;Pàdua;127.54270724616518;Farmàcia Sahun Xifré, Montserrat Rosario;147.53362755565547;2075.0;Balmes - Mitre;156.05342014870314
102816916;41.3976009;2.1577431;Diagonal;260.3886873444015;La Farmàcia dels Jardinets;7.195750996478748;605.0;Gran de Gràcia - Jesús;75.90264196982571
105580121;41.3916129;2.1159529;Palau Reial;664.0561290023746;Farmacia Marta Grau;432.29648316838217;165.0;Av. Pedralbes - Cavallers;163.82102531737294
105693850;41.4039032;2.1772162;Sagrada Família;176.0255327503512;Farmàcia Serra Saval, Marta;74.1463165229655;760.0;Lepant - Mallorca;28.472994375996223
103946740;41.4076078;2.1390405;el Putxet;199.3711553343082;Farmàcia Rodríguez Borras, I. - Villareal, J.;173.06880532938436;1009.0;Balmes - Joaquim Folguera;93.61373093639914
103710364;41.4096885;2.1360508;Avinguda Tibidabo;92.53823685449412;Farmàcia Lucía Fullana Barceló;128.1907418547083;1909.0;Pg Sant Gervasi - Pl Kennedy;36.74955781097738
102565682;41.3909009;2.1416913;Hospital Clínic;800.3754789597576;Fàrmacia-Ortopèdia Sarrià;44.16886593155926;923.0;Diagonal - Av de Sarrià;106.5373435413678
105236320;41.3920163;2.1474987;Hospital Clínic;498.09119906681445;Farmàcia Sans Àlvarez-Montesinos, Anna;31.92963760995136;833.0;Villarroel - Buenos Aires;15.369261745665776
105911748;41.391982;2.1635596;Provença;477.1292985634432;Farmàcia Gelabert Colom-Noguera, Anna;63.28297792332843;766.0;Valencia - Pg de Gràcia;69.80618481373233
105082989;41.4066399;2.1470392;Lesseps;255.715553772091;Farmàcia Fernández López, Concepció;136.59163894247888;1108.0;Ballester - Ferran Puig;93.55086933073108
105532586;41.4250595;2.1835828;Congrés-Indians;264.92763290474755;Farmàcia Blanc Melià, Beatriz i Javier;63.07799527263487;1656.0;Pl dels Indians;175.49970102344628
105591040;41.3912744;2.1981176;Bogatell;662.3927853283175;Farmàcia Bouyat Salamanca, Jean-Paul;63.57592880752862;866.0;Arquitecte Sert - Av Icària;34.41722673455444
104508821;41.3920072;2.1444255;Hospital Clínic;666.4575077936673;Farmàcia Mengual Cirac, Tomás;82.7440654036166;2082.0;Parada Bus turistic;33.47986923893161
105447880;41.391267;2.1427609;Hospital Clínic;736.5751607767323;Farmàcia Ponjoan Uriach, M. Rosa;28.565526802068955;938.0;Josep Tarradellas - Francesc Macià;97.08164902101312
101404883;41.4136419;2.1778134;Camp de l'Arpa;291.52698452910494;Farmàcia Collellmir Morales, Marta;68.9475159694162;1685.0;Sant Quintí - Sant Antoni Maria Claret;41.06246394255389
104769740;41.3990045;2.1333165;les Tres Torres;236.15840045347025;Farmàcia Andreu Lleal, M. Assumpció;99.46082680391784;1949.0;Mitre - Ganduxer;34.52649575959493
105398424;41.4070951;2.2084886;Selva de Mar;114.56648646059836;Farmàcia C. Marqueta Ariño - E. García Marqueta;187.55018026076968;270.0;Pujades - Provençals;78.84201659571845
105851705;41.3968393;2.1705934;Girona;203.95577203309816;Farmàcia Peris Zaragoza, M. Carme;64.92404994789148;1733.0;Aragó - Passeig de Sant Joan;95.4193746810551
104947829;41.4302894;2.1862364;Fabra i Puig;224.34750778022016;Farmàcia Terré Hernández, Immaculada;101.27442699940872;1643.0;Fabra i Puig - Llenguadoc;65.79928188504063
105534314;41.4134293;2.1399668;Vallcarca;418.0961430258313;Farmàcia Moreno Yuste, Maria;24.995208469029127;2038.0;Esteve Terradas - Josep Jover;64.16487691419208
104989774;41.3795281;2.1490008;Tarragona;326.9103610440772;Farmàcia Buil Alcaraz, Alfredo Jose;123.51990142857048;2126.0;Entença - Consell de Cent;101.95611013909846
