properties.name;latitude;longitude
Escola Salvador Espriu;2.0415177;41.3777214
Escola La Garalda;1.9971032;41.4272977
Institut Angeleta Ferrer i Sensat;2.0713627;41.4761253
EOI de Sant Cugat del Vallès;2.0897353;41.4774439
Escola Collserola;2.0897904;41.4778975
Col·legi Japonès de Barcelona;2.0632212;41.4970331
Col·legi Viaró;2.0811351;41.4847988
Escola Turó de Can Mates;2.0611385;41.4739316
Escola Pi d'en Xandri;2.08869;41.466256
Escola Gerbert d'Orlhac;2.0857486;41.4822154
Escola Sant Joan Baptista;2.1892274;41.3827588
Institut Joaquima Pla i Farreras;2.0907957;41.4792173
El Pinar de Nuestra Señora;2.074273;41.4573579
Institut Arnau Cadell;2.0701518;41.459949
Institut Begues;1.9046199;41.3350347
Àgora Sant Cugat International School;2.0782748;41.4940917
Escola Ciutat d'Alba;2.0682644;41.4711165
Escola Can Salvi;1.9627363;41.4508355
Escola l'Olivera;2.0678664;41.4817269
Escola Avenç;2.0947403;41.46507
Escola Garbí;2.0974489;41.3797931
Institut Montserrat Roig;2.1647917;41.4071931
Escola Thau;2.1049769;41.3875556
Frederic Mistral-Tècnic Eulàlia;2.117553;41.398607
Escola Nou Patufet;2.1605291;41.4047792
Escola Lavínia;2.1301709;41.3814861
Escola Marta Mata;2.0022221;41.3128789
Institut Manuel Vázquez Montalbán;2.2285978;41.4234664
Col·legi Sagrat Cor-Diputació;2.1739946;41.3951357
Sant Miquel Arcàngel;2.0172129;41.4140074
Escola La Sínia;2.0116863;41.4183598
Escola Montseny;2.0667069;41.3818089
Ateneu Instructiu;2.0550691;41.3725334
Escola Germans Amat i Targa;2.0114359;41.3243251
Escola Lexia;2.1393649;41.4144622
Escola Tàber;2.112578;41.4009812
Institut Escola Costa i Llobera;2.1084414;41.4014776
Escola Puig d'Agulles;1.9408285;41.4205314
Escola La Maquinista;2.1962377;41.4393112
Escola La Sedeta;2.1681462;41.4054065
Institut La Sedeta;2.1681501;41.4051042
Escola Els Xiprers;2.1020065;41.4199482
CEE Folch i Camarasa;2.1499267;41.4326382
Escola Pau Casals;2.1517794;41.4319866
CEE Vil·la Joana;2.0975075;41.4213194
Institut Can Margarit;1.9365213;41.4248383
Escola Baloo;2.1399785;41.4341548
Lycée Français de Barcelone;2.1190656;41.3924812
Escola Juan Ramón Jiménez;1.9192026;41.4717434
Escola Vicente Aleixandre;1.9177886;41.4719012
EOI de Martorell;1.9211295;41.4724968
Institut Joan Oró;1.9215058;41.4735576
Institut Pompeu Fabra;1.9222025;41.4749087
