properties.name;properties.route_ref;latitude;longitude
Av Terra Nostra - CEIP Mitja Costa;103;2.1729113;41.4827527
Escola Mitja Costa;155;2.1746827;41.4826475
Av. Sadurní - Ebre;902c;1.900142;41.3403092
Hospital Esperit Sant - Pont del Molinet;B30 B81 B20 N6;2.2130197;41.43722
Ronda Cerdanyola;;2.4227986;41.5414769
La Corunya;SV1;2.0018507;41.3911512
Av. de Montserrat - Palafrugell;;2.2421839;41.5888247
ctra. Vilassar (Sindicat Agrícola) (D);;2.4004828;41.5211273
Geganta;;2.4381236;41.5424524
Parc Central;;2.4407997;41.5442957
Euskadi;;2.4312355;41.5438536
Ctra. de Barcelona - Pompeu Fabra - La Sala;260;2.232514;41.6388752
;;2.4291076;41.5555614
Pl. Lluís Companys;e9 260;2.1707345;41.6323042
Vilardell;;2.0385519;41.5572694
Complex Funerari;;2.0438456;41.556428
Hospital;;2.0524478;41.5561498
Àngel Guimerà - Molí Nou - Sentit Centre;;1.6039094;41.5820276
Plaça Espanya;;1.8254753;41.7307183
Mare de Déu del Port - Sant Eloi;125;2.1438152;41.3574468
Mare de Déu del Port - Cisell;125;2.144715;41.3563879
Rda Guinardó - Cartagena;H6 V23 191;2.171031;41.4141646
Saragossa - Ronda General Mitre;131;2.1437737;41.40568
Sitges - Pl. Eduard Maristany | Estació de Rodalies;;1.8093194;41.238922
Creu Roja - València (14-16);;2.0181579;41.4098909
Av. Barcelona – Pl. Bàscula;MB1;2.0207737;41.408895
Can Graner;MB1 MB2;2.0274919;41.4128008
St. Antoni Ma. Claret - Carme Galceran;MB3;2.0208238;41.4124864
Rotonda Vallvidrera;MB3;2.0226535;41.4170532
Cementiri - Tanatori;MB3;2.0185505;41.420099
Av Granvia - Ctra Antiga del Prat;46 65 79 L94 L95 LH1 L21 N15 N16 N17 N18;2.1132537;41.3474744
Camí Alt del Mas Sauró, direcció Vallvidrera;118;2.0964647;41.4165129
Mas Sauró;118;2.0929725;41.4156419
CEIP Nabí;128;2.1011558;41.4167226
Millars;;2.0414452;41.5728946
General Mendoza - Santa Rosalia;H2 19 119;2.1417759;41.4215344
Castellbisbal - Sta Rosalia;119;2.1443778;41.4213544
Rector Colom;MB3;2.0175439;41.4183038
Catalunya;MB3;2.0176462;41.4174946
Aiguablava - Llosa;N1;2.1864425;41.4517974
Petúnies - Circumval·lació;76 103 155 N3;2.1712287;41.4633357
Palamós - Sa Tuna;N1;2.18758;41.4515596
Passeig Maritím - Roma;;1.7935093;41.2292976
Puigmoltó;;1.7706863;41.2505858
Av. Albert Bastardas - Av. Manuel Azaña;M14;2.1084717;41.3777245
Ernest Lluch;D20 N3;2.1121057;41.3764006
Josep M Jujol - Vallpar;124;2.1340769;41.4210392
Ctra Sant Cugat - Navata;119;2.1384954;41.4206894
Josep M Jujol - August Font;124;2.1335831;41.4197002
Collserola - August Font;124;2.1308662;41.4182594
Sant Genís dels Agudells - Natzaret;;2.1380955;41.4291257
Viver - Av Elies Pagès;112;2.1320462;41.4290458
Olvan;112;2.1330842;41.4296732
Av. Pau Casals - Pl. de l'Ateneu;;1.8227166;42.0769616
;;1.826249;41.7303377
Pl. Trafalgar;;2.2181033;41.4371055
Hospital Esperit Sant;;2.2136934;41.4377888
Hospital Esperit Sant;B2 B5 B14 B24 B30 B81 B30 N2;2.2137781;41.437756
Metro Sant Roc;;2.2273941;41.4348788
Av. Maresme;;2.2221588;41.4354115
CAP Llefià;;2.2202467;41.437755
Pl. Trafalgar;3;2.2182754;41.4373238
Rbla. Solidaritat;"3;B22;B23;B24";2.2160283;41.4382934
Sant Antoni de Llefià - Dr. Bassols;B3 B23 B24 N2;2.2198955;41.4417975
CAP Gran Sol - Llefià;;2.2196607;41.4429597
Atlàntida;;2.2173635;41.4432525
Llevant - Can Farell;;2.2166211;41.6297415
Lloreda;;2.2281221;41.4529377
Estació autobusos Gironella;;1.8801863;42.0354037
Service Center;88 89 PR4;2.1365018;41.3223088
Radi - Ctra del Prat;79;2.1347528;41.3627655
;;2.738;41.6408851
Jaume I - Pl Lluís Companys;96155 N3;2.1885941;41.4820946
Rambla dels Països Catalans - Pl Espanya;96 103 N3;2.1854704;41.4912102
Av. Aeroport - Via Làctia;46 L99 N19;2.0546096;41.2997126
Ca n'Aurell;;1.9965955;41.5637632
Sant Mateu;;1.9973656;41.5604791
Raval Torrent;;1.6704512;41.2088041
Av. Poal - Comte Güell;CF1;1.9462165;41.2744646
av. Eduard Toldrà 42;;1.7352261;41.2271243
;;1.6920637;41.3432682
Dante Alighieri - Estoril;H2 86;2.1621404;41.4290602
Can Deu;;2.0865898;41.575915
Moll Sant Bertran - Moll Barcelona;88 89;2.1768423;41.3728825
La Terrassa de Campins;573;2.4635684;41.7228478
Camí de Sant Cristòfol de Fogars de Montclús;573;2.4527006;41.7400238
Estació TIR - Pg Zona Franca;21;2.1486314;41.346887
;;1.8834914;42.0196771
Residencia;;1.8412344;42.0983736
La Valldan- A;;1.8346519;42.0941347
;;1.8235331;42.0954273
Passeig de la Pau;476 L0156 L0393;1.8439439;42.1010902
Bombers;;1.8571337;42.1043736
Cal Bastè;;1.8367214;42.1045959
Mercat de la Sagrada Família;;1.837692;41.7281021
Hotel Terramar;;1.7872279;41.2248706
Gravera;;1.8166086;41.7337452
Policia Local;;1.8169076;41.722496
Gaudí;;1.8344538;41.7292977
Bruc;;1.8215876;41.728278
IES Lacetània;;1.8279862;41.7365573
la Creu;;1.8308087;41.7366707
Ronda dels Pinetons - Rtda.del Rellotge;345;2.2019753;41.5376272
Ronda dels Pinetons - Rtda. Rellotge;345;2.2023762;41.5376502
Plaça de Can Borrell;;2.2053771;41.5461832
Colònia Sardà;A7;2.1224957;41.4599472
