Teatro ;longitude;latitude
centre cultural de la Llagosta;41.5156207438242;2.19664143621219
El Teatre;42.0651061878088;2.24285459672593
Teatre La Lliga;41.5301029146661;1.68587243821577
Societat Coral Diadema Corberenca;41.4151320732774;1.93035864792998
Sala Sant Medir;41.3697684601201;2.13775871550354
Centre Cultural Els Costals;41.4745142408587;1.98245620806119
Casal;41.4771649205401;1.98282383427829
Foment Cultural i Artistic;41.411557385347;2.01515015574739
;41.3688793;2.154362
;41.3683604576289;2.15396679881456
;41.3682227240212;2.15405889044674
Casino Borràs;41.6291109342395;1.86123458216913
El Patronat;41.6926480354432;2.44388093740903
Teatre- Auditori de Llinars;41.6453840381173;2.4074091071376
Centre Cultural de Cardedeu (CeCuCa);41.6369640896005;2.36141159674899
Ateneu;41.4884230842394;2.14119173871341
;41.4122929276923;2.0313725423515
Teatre Centre;42.0003017212038;2.28547314743862
Casal Català;41.5333948481802;1.77042481984715
Teatre Margarida Xirgu;41.5438256544018;2.26642547178283
L'Auditori;41.6241921550138;2.69366997265934
;41.5263558480857;1.68374672697375
Amfiteatre de Les Feixetes;41.8529627946162;2.22547501801244
Sala Gorg Negre;41.7313545362368;2.50245453029342
Casino;41.3840424909723;1.93128198171292
El Patronat;41.6793246293952;2.28851650006597
El Patronat;41.6736080718556;2.39962359752383
Sala El Catalunya;41.8643452556658;1.97099815600611
Teatre Municipal Pare Casals;41.702584604265;2.43754584491376
Casal Cultural Codinenc;41.6881937056651;2.16334640507277
Teatre La Sala;41.4874397182603;2.03540740971318
El Casal;41.5406079;1.89389295
Teatre municipal Cal Bolet;41.3443992443133;1.69992485795279
;42.103959058667;1.84091564220156
;42.1038301929329;1.84088685694726
Teatre de Palafolls;41.6682812836113;2.74826227637536
;41.5686603633239;2.01824923331403
Teatre del Centre;41.5354659335389;2.17885340604015
Auditori de Cornellà;41.349428158822;2.08169445562933
Teatre;41.9012611886844;2.28419902386699
Teatre Tantarantana;41.3759466;2.1673377
Blas Infante;41.4377005;2.2229207
Teatre Romea;41.3805321;2.1710813
Auditorium municipal;41.486684;2.1882238
Teatre de Ponent;41.6118119;2.2868975
Teatre Goya;41.384087;2.164267
Poliorama;41.3840778;2.1707374
